CSD Code / Code de la SDR 1991,CSD Name / Nom de la SDR 1991,2A Population / Population 2A 1991,Income / Revenu 1991,Education / Scolarité 1991,Housing / Logement 1991,Labour Force Activity / Activité sur le marché du travail 1991,CWB / IBC 1991,Community Type / Type de collectivité 1991
1001101,"Division No.  1, Subd. V",180, , , , ,68,Non-Aboriginal Communities
1001105,Portugal Cove South,341,72,30,96,82,70,Non-Aboriginal Communities
1001109,Biscay Bay,97, , , , ,72,Non-Aboriginal Communities
1001113,Trepassey,"1,198",69,32,95,78,69,Non-Aboriginal Communities
1001120,St. Shott's,232, , , , ,64,Non-Aboriginal Communities
1001124,"Division No.  1, Subd. U","1,651",72,36,91,66,66,Non-Aboriginal Communities
1001126,Cape Broyle,693,68,31,96,68,66,Non-Aboriginal Communities
1001131,Renews-Cappahayden,551,69,36,96,72,68,Non-Aboriginal Communities
1001136,Fermeuse,505,66,24,98,59,62,Non-Aboriginal Communities
1001140,Port Kirwan,120, , , , ,64,Non-Aboriginal Communities
1001144,Aquaforte,188, , , , ,62,Non-Aboriginal Communities
1001149,Ferryland,717,65,30,98,53,62,Non-Aboriginal Communities
1001155,"Division No.  1, Subd. W",536,70,31,91,59,63,Non-Aboriginal Communities
1001169,St. Vincent's-St. Stephens-Peter's River,674,62,22,98,67,62,Non-Aboriginal Communities
1001174,Gaskiers-Point la Haye,508,58,21,96,58,58,Non-Aboriginal Communities
1001178,St. Mary's,637,61,27,98,59,61,Non-Aboriginal Communities
1001181,Riverhead,398,57,35,95,61,62,Non-Aboriginal Communities
1001186,Admiral's Beach,275, , , , ,67,Non-Aboriginal Communities
1001192,St. Joseph's,205, , , , ,71,Non-Aboriginal Communities
1001197,Mount Carmel-Mitchell's Brook-St. Catherine's,619,69,33,95,68,66,Non-Aboriginal Communities
1001203,"Division No.  1, Subd. X",545,63,26,96,69,63,Non-Aboriginal Communities
1001207,Colinet,232, , , , ,64,Non-Aboriginal Communities
1001214,"Division No.  1, Subd. C",314,68,28,93,76,66,Non-Aboriginal Communities
1001219,Branch,382,55,14,86,61,54,Non-Aboriginal Communities
1001225,Point Lance,161, , , , ,64,Non-Aboriginal Communities
1001228,St. Bride's,586,65,24,88,72,62,Non-Aboriginal Communities
